datetime,nat_demand,T2M_toc,QV2M_toc,TQL_toc,W2M_toc,T2M_san,QV2M_san,TQL_san,W2M_san,T2M_dav,QV2M_dav,TQL_dav,W2M_dav
2016/10/1 0:00,988.1010999999999,25.800439453125023,0.019494602,0.203125,9.660831953913082,25.081689453125023,0.019479344,0.09362793,7.3419823805624365,23.175439453125023,0.01812894,0.18304443,4.776464513310836
2016/10/1 1:00,918.4085,25.757928466796898,0.019425888,0.24127197,10.136435192927056,24.945428466796898,0.019349594,0.10333252,7.097502707131176,22.945428466796898,0.018044967,0.15588379,4.887804774077107
2016/10/1 2:00,918.6384,25.762902832031273,0.019425835,0.22833252,10.574648197896579,24.856652832031273,0.019219842,0.14904785,6.621013533114736,22.841027832031273,0.017960992,0.13903809,4.765199662035294
2016/10/1 3:00,906.4783,25.771569824218773,0.019441051,0.21862793,10.751141083947024,24.755944824218773,0.019051952,0.17059326,6.236641708981956,22.755944824218773,0.017838879,0.13598633,4.386951353542084
2016/10/1 4:00,899.8665,25.773461914062523,0.01942577,0.2263794,10.491441432079478,24.585961914062523,0.018830677,0.17352295,5.8920621653771565,22.648461914062523,0.017678639,0.13439941,3.9948045869474926
2016/10/1 5:00,909.2757,25.737298583984398,0.019380001,0.25219727,9.738388812300826,24.362298583984398,0.018594174,0.16778564,5.473121341653133,22.549798583984398,0.017526058,0.12567139,3.777604090369214
2016/10/1 6:00,889.7919999999999,25.754113769531273,0.019364744,0.23968506,8.807957307072838,24.269738769531273,0.018464476,0.16479492,4.9321966618777475,22.472863769531273,0.01740399,0.11975098,3.631771012187724
2016/10/1 7:00,963.9139,26.364160156250023,0.019692844,0.23754883,9.424524464234423,25.317285156250023,0.019257968,0.15039062,5.883857698640126,23.114160156250023,0.017831272,0.12173462,3.460626589757669
2016/10/1 8:00,1137.4558000000002,26.883355712890648,0.019578299,0.23675537,11.53369138599194,26.320855712890648,0.019326529,0.16101074,6.882447664981265,23.898980712890648,0.018128714,0.12921143,3.5270244993803384
2016/10/1 9:00,1221.0151,27.256768798828148,0.019463787,0.24725342,12.379803089554082,27.131768798828148,0.01891447,0.15917969,7.413223637837311,24.913018798828148,0.017686138,0.125,3.5135059775967585
2016/10/1 10:00,1303.2929000000001,27.562127685546898,0.019334048,0.26489258,12.575297746110042,27.905877685546898,0.018967837,0.1828003,7.029259435029842,26.249627685546898,0.016999453,0.14453125,3.31467592424551
2016/10/1 11:00,1311.3458,27.763513183593773,0.019250067,0.2861328,11.899707213574576,28.513513183593773,0.018937262,0.2520752,6.131592935193317,27.138513183593773,0.016678961,0.1875,3.093882582164433
2016/10/1 12:00,1266.1568,27.720239257812523,0.01915847,0.29370117,11.594303126546002,28.782739257812523,0.018822776,0.3182373,5.407841805965856,27.563989257812523,0.016572105,0.2366333,3.1172927632162404
2016/10/1 13:00,1203.6355,27.564538574218773,0.018982964,0.2631836,11.74816149024514,28.642663574218773,0.0186549,0.35412598,4.704132539925511,27.502038574218773,0.01662548,0.28967285,3.2408042100372882
2016/10/1 14:00,1177.5655000000002,27.441217041015648,0.018776974,0.22979736,12.31664184925709,28.394342041015648,0.018609127,0.34960938,4.3365920180088375,27.097467041015648,0.016785702,0.32617188,3.4253068327075984
2016/10/1 15:00,1169.8608,27.321435546875023,0.018632041,0.18725586,13.072618863587996,27.993310546875023,0.018746482,0.3314209,4.2727943954692424,26.415185546875023,0.017121421,0.32910156,3.5883651952809905
2016/10/1 16:00,1158.8549,27.077844238281273,0.018708354,0.15893555,13.298831974454208,27.702844238281273,0.019120341,0.29907227,4.0229189498212685,25.515344238281273,0.017548686,0.34570312,3.6876757098215815
2016/10/1 17:00,1128.1919,26.633386230468773,0.018975407,0.14117432,12.293355943020478,27.055261230468773,0.018395573,0.21710205,4.071650428463731,24.586511230468773,0.018006474,0.34545898,3.711779576539654
2016/10/1 18:00,1205.9534,26.080133056640648,0.01905175,0.119262695,10.035354487568544,25.939508056640648,0.019067008,0.14483643,4.007011188911294,23.798883056640648,0.018349845,0.33398438,3.75776385174705
2016/10/1 19:00,1188.0101,25.800988769531273,0.019006051,0.13043213,8.065573967731936,25.160363769531273,0.01876954,0.09802246,4.63568184883446,23.332238769531273,0.018220223,0.29663086,4.031713783732117
2016/10/1 20:00,1137.6831,25.638085937500023,0.018937474,0.18157959,6.388142150730482,24.778710937500023,0.01860178,0.06896973,5.053555024768871,23.106835937500023,0.018082982,0.274292,3.9771233267727397
2016/10/1 21:00,1100.4972,25.531518554687523,0.018838327,0.23901367,5.541429954961061,24.547143554687523,0.018533152,0.05908203,4.961473969055736,22.984643554687523,0.017983835,0.28466797,3.812410639981992
2016/10/1 22:00,1055.2461,25.422052001953148,0.018685794,0.2611084,5.516562883643613,24.453302001953148,0.018517947,0.099121094,4.57227001348038,22.937677001953148,0.017922854,0.29589844,3.692255970840229
2016/10/1 23:00,1001.7079999999999,25.257501220703148,0.01849511,0.23577881,6.268970586788359,24.366876220703148,0.018449334,0.14416504,4.2821890966327105,22.866876220703148,0.017831353,0.30114746,3.7734429135491054
2016/10/2 0:00,949.1370999999999,25.076928710937523,0.018220501,0.19207764,7.28027284802563,24.248803710937523,0.018334942,0.1807251,4.209266195611484,22.811303710937523,0.017747479,0.3034668,3.97466283843803
2016/10/2 1:00,920.4026,24.854943847656273,0.017930627,0.1519165,7.681636602544713,24.136193847656273,0.018220544,0.20184326,4.187156234978652,22.683068847656273,0.017671227,0.289917,4.159866902349602
2016/10/2 2:00,916.9027,24.657434082031273,0.017671263,0.13409424,7.295743129600325,24.001184082031273,0.01807562,0.20788574,4.2155453526669415,22.579309082031273,0.017594969,0.30114746,4.2741643791666135
2016/10/2 3:00,900.2358,24.506066894531273,0.017442409,0.11758423,6.540615994902425,23.865441894531273,0.017915431,0.20428467,4.345416317782856,22.506066894531273,0.017472927,0.31018066,4.4734818936356
2016/10/2 4:00,880.5317,24.359674072265648,0.017251717,0.09713745,6.0289076325248265,23.703424072265648,0.017755257,0.21154785,4.476330362262763,22.406549072265648,0.017358528,0.3059082,4.615440082913662
2016/10/2 5:00,878.4486999999999,24.283074951171898,0.017145045,0.08178711,5.928646587939364,23.564324951171898,0.01759518,0.22625732,4.464808628214469,22.329949951171898,0.017267115,0.2791748,4.5232279769520725
2016/10/2 6:00,814.7859,24.358605957031273,0.017251804,0.07449341,6.353888473007454,23.608605957031273,0.017610386,0.22332764,4.443516186707547,22.249230957031273,0.017152622,0.26733398,4.345304322466516
2016/10/2 7:00,874.5768,25.293237304687523,0.01759509,0.07632446,10.274837342248683,24.808862304687523,0.018274106,0.22888184,6.903319779251818,22.465112304687523,0.017175473,0.26696777,4.4331283720340595
2016/10/2 8:00,929.426,25.918878173828148,0.017816309,0.08572388,13.349532249914374,25.575128173828148,0.018327478,0.24383545,8.63516869888782,22.793878173828148,0.017266992,0.29626465,4.547936208312822
2016/10/2 9:00,990.0074000000001,26.338525390625023,0.018098537,0.12335205,15.186353309575729,26.401025390625023,0.018258754,0.2512207,9.571833177973952,23.088525390625023,0.017198268,0.31591797,4.547954552295043
2016/10/2 10:00,1059.4495,26.766168212890648,0.01827402,0.16827393,16.091674263134347,27.047418212890648,0.01827402,0.26489258,10.263534073765703,23.344293212890648,0.016793918,0.3133545,4.375000034877232
2016/10/2 11:00,1092.1362,27.222344970703148,0.018312208,0.22125244,16.340809554142833,27.487969970703148,0.018373244,0.2886963,11.191201323385569,23.691094970703148,0.01665663,0.31079102,4.2665187427587865
2016/10/2 12:00,1118.1505,27.525170898437523,0.018220702,0.25598145,15.942678329238483,27.806420898437523,0.018426696,0.29638672,12.109888623179833,23.931420898437523,0.016702453,0.31884766,4.359148179583083
